matrixSize,processor,type,blockSize,time
100,CPU,ELEMENT,0,0.080000
100,GPU,ELEMENT,16,0.070976
100,GPU,ROW,16,0.259072
100,GPU,COL,16,0.140608
200,CPU,ELEMENT,0,0.259000
200,GPU,ELEMENT,16,0.045920
200,GPU,ROW,16,0.456736
200,GPU,COL,16,0.324352
500,CPU,ELEMENT,0,1.977000
500,GPU,ELEMENT,16,0.112640
500,GPU,ROW,16,1.225952
500,GPU,COL,16,0.692640
1000,CPU,ELEMENT,0,7.848000
1000,GPU,ELEMENT,16,0.274208
1000,GPU,ROW,16,2.432224
1000,GPU,COL,16,1.363104
1500,CPU,ELEMENT,0,13.440000
1500,GPU,ELEMENT,16,0.550368
1500,GPU,ROW,16,4.738912
1500,GPU,COL,16,2.013376
3000,CPU,ELEMENT,0,63.894000
3000,GPU,ELEMENT,16,2.060288
3000,GPU,ROW,16,30.162336
3000,GPU,COL,16,7.899968
5000,CPU,ELEMENT,0,194.587000
5000,GPU,ELEMENT,16,5.606368
5000,GPU,ROW,16,57.520000
5000,GPU,COL,16,19.744225
