matrixSize,processor,blockSize,time
100,CPU,0,12.514000
100,GPU,0,1206.895752
100,GPU,2,3.026816
100,GPU,4,0.898208
100,GPU,10,0.262912
100,GPU,20,0.211264
100,GPU,25,0.296672
200,CPU,0,98.389000
200,GPU,0,10699.971680
200,GPU,2,23.885248
200,GPU,4,6.734080
200,GPU,10,1.752256
200,GPU,20,1.603104
200,GPU,25,1.635584
500,CPU,0,1777.795000
500,GPU,0,172448.640625
500,GPU,2,374.834351
500,GPU,4,102.624382
500,GPU,10,26.117920
500,GPU,20,20.205313
500,GPU,25,20.093504
1000,CPU,0,19648.920000
1000,GPU,0,1381615.875000
1000,GPU,2,3072.553711
1000,GPU,4,906.491089
1000,GPU,10,209.797211
1000,GPU,20,160.813278
1000,GPU,25,158.685349
1500,CPU,0,91543.099000
1500,GPU,0,4662176.500000
1500,GPU,2,11005.201172
1500,GPU,4,3098.337646
1500,GPU,10,700.104675
1500,GPU,20,540.086609
1500,GPU,25,536.280823
