matrixSize,tileSize,time
100,2,5.051488
100,4,1.011040
100,10,0.378176
100,20,0.289760
100,25,0.420224
200,2,39.051743
200,4,7.588416
200,10,2.580896
200,20,2.109856
200,25,1.957536
500,2,605.783386
500,4,113.887711
500,10,38.581505
500,20,29.240992
500,25,28.047169
1000,2,4842.419434
1000,4,908.715088
1000,10,306.979187
1000,20,232.703262
1000,25,222.013733
1500,2,16334.491211
1500,4,3063.965576
1500,10,1034.617798
1500,20,785.045410
1500,25,746.541931
5000,2,609239.187500
5000,4,113551.140625
5000,10,38280.484375
5000,20,29129.566406
5000,25,27551.080078
